ID_Partida,Tipo_IA,Puntuacion_Final,Resultado,Cartas,Plantado
124,IA_facil,18,Derrota,7,Si
124,IA_medio,20,Empate,6,Si
124,IA_dificil,20,Empate,4,Si
125,IA_facil,17,Empate,6,Si
125,IA_medio,23,Derrota,7,Si
125,IA_dificil,17,Empate,7,Si
126,IA_facil,18,Derrota,5,Si
126,IA_medio,21,Victoria,5,Si
126,IA_dificil,17,Derrota,6,Si
127,IA_facil,21,Victoria,6,Si
127,IA_medio,19,Derrota,5,Si
127,IA_dificil,18,Derrota,3,Si
128,IA_facil,18,Derrota,4,Si
128,IA_medio,20,Empate,7,Si
128,IA_dificil,20,Empate,5,Si
129,IA_facil,18,Derrota,6,Si
129,IA_medio,18,Derrota,6,Si
129,IA_dificil,19,Victoria,4,Si
130,IA_facil,18,Derrota,5,Si
130,IA_medio,22,Derrota,9,Si
130,IA_dificil,19,Victoria,7,Si
131,IA_facil,17,Derrota,4,Si
131,IA_medio,22,Derrota,6,Si
131,IA_dificil,20,Victoria,4,Si
132,IA_facil,22,Derrota,7,Si
132,IA_medio,19,Empate,5,Si
132,IA_dificil,19,Empate,4,Si
133,IA_facil,18,Victoria,4,Si
133,IA_medio,17,Derrota,4,Si
133,IA_dificil,24,Derrota,5,Si
134,IA_facil,17,Empate,5,Si
134,IA_medio,25,Derrota,6,Si
134,IA_dificil,17,Empate,5,Si
135,IA_facil,20,Derrota,4,Si
135,IA_medio,18,Derrota,5,Si
135,IA_dificil,21,Victoria,5,Si
136,IA_facil,18,Derrota,7,Si
136,IA_medio,20,Victoria,6,Si
136,IA_dificil,18,Derrota,5,Si
137,IA_facil,20,Empate,7,Si
137,IA_medio,17,Derrota,5,Si
137,IA_dificil,20,Empate,4,Si
138,IA_facil,19,Derrota,5,Si
138,IA_medio,22,Derrota,6,Si
138,IA_dificil,20,Victoria,7,Si
139,IA_facil,20,Derrota,6,Si
139,IA_medio,20,Derrota,5,Si
139,IA_dificil,21,Victoria,7,Si
140,IA_facil,17,Derrota,6,Si
140,IA_medio,18,Empate,5,Si
140,IA_dificil,18,Empate,3,Si
141,IA_facil,19,Derrota,6,Si
141,IA_medio,21,Empate,5,Si
141,IA_dificil,21,Empate,7,Si
142,IA_facil,17,Derrota,5,Si
142,IA_medio,21,Victoria,5,Si
142,IA_dificil,18,Derrota,4,Si
143,IA_facil,17,Derrota,6,Si
143,IA_medio,20,Victoria,5,Si
143,IA_dificil,18,Derrota,7,Si
144,IA_facil,18,Derrota,4,Si
144,IA_medio,20,Victoria,5,Si
144,IA_dificil,19,Derrota,5,Si
145,IA_facil,20,Derrota,4,Si
145,IA_medio,21,Victoria,5,Si
145,IA_dificil,17,Derrota,6,Si
146,IA_facil,18,Derrota,3,Si
146,IA_medio,20,Victoria,5,Si
146,IA_dificil,23,Derrota,7,Si
147,IA_facil,20,Victoria,8,Si
147,IA_medio,17,Derrota,5,Si
147,IA_dificil,17,Derrota,4,Si
148,IA_facil,20,Victoria,8,Si
148,IA_medio,24,Derrota,5,Si
148,IA_dificil,19,Derrota,8,Si
149,IA_facil,18,Victoria,5,Si
149,IA_medio,17,Derrota,6,Si
149,IA_dificil,17,Derrota,5,Si
150,IA_facil,21,Victoria,5,Si
150,IA_medio,19,Derrota,6,Si
150,IA_dificil,17,Derrota,4,Si
151,IA_facil,19,Derrota,6,Si
151,IA_medio,21,Victoria,6,Si
151,IA_dificil,17,Derrota,5,Si
152,IA_facil,20,Victoria,4,Si
152,IA_medio,22,Derrota,5,Si
152,IA_dificil,19,Derrota,6,Si
153,IA_facil,18,Empate,5,Si
153,IA_medio,18,Empate,5,Si
153,IA_dificil,18,Empate,5,Si
154,IA_facil,18,Derrota,5,Si
154,IA_medio,22,Derrota,7,Si
154,IA_dificil,19,Victoria,4,Si
155,IA_facil,17,Derrota,5,Si
155,IA_medio,20,Victoria,5,Si
155,IA_dificil,23,Derrota,6,Si
156,IA_facil,22,Derrota,6,Si
156,IA_medio,22,Derrota,4,Si
156,IA_dificil,21,Victoria,5,Si
157,IA_facil,17,Derrota,4,Si
157,IA_medio,25,Derrota,6,Si
157,IA_dificil,21,Victoria,6,Si
158,IA_facil,17,Empate,4,Si
158,IA_medio,22,Derrota,6,Si
158,IA_dificil,17,Empate,4,Si
159,IA_facil,17,Victoria,4,Si
159,IA_medio,23,Derrota,5,Si
159,IA_dificil,22,Derrota,5,Si
160,IA_facil,18,Derrota,6,Si
160,IA_medio,22,Derrota,5,Si
160,IA_dificil,20,Victoria,7,Si
161,IA_facil,17,Derrota,4,Si
161,IA_medio,24,Derrota,7,Si
161,IA_dificil,21,Victoria,8,Si
162,IA_facil,18,Empate,5,Si
162,IA_medio,18,Empate,6,Si
162,IA_dificil,18,Empate,7,Si
163,IA_facil,19,Derrota,5,Si
163,IA_medio,18,Derrota,6,Si
163,IA_dificil,20,Victoria,5,Si
164,IA_facil,20,Derrota,5,Si
164,IA_medio,20,Derrota,6,Si
164,IA_dificil,21,Victoria,7,Si
165,IA_facil,18,Derrota,5,Si
165,IA_medio,18,Derrota,6,Si
165,IA_dificil,21,Victoria,7,Si
166,IA_facil,20,Derrota,8,Si
166,IA_medio,21,Victoria,6,Si
166,IA_dificil,17,Derrota,4,Si
167,IA_facil,20,Empate,8,Si
167,IA_medio,20,Empate,6,Si
167,IA_dificil,20,Empate,4,Si
168,IA_facil,19,Victoria,5,Si
168,IA_medio,25,Derrota,6,Si
168,IA_dificil,18,Derrota,8,Si
169,IA_facil,21,Victoria,6,Si
169,IA_medio,19,Derrota,6,Si
169,IA_dificil,23,Derrota,7,Si
170,IA_facil,18,Derrota,5,Si
170,IA_medio,21,Victoria,8,Si
170,IA_dificil,17,Derrota,4,Si
171,IA_facil,17,Derrota,4,Si
171,IA_medio,22,Derrota,5,Si
171,IA_dificil,19,Victoria,5,Si
172,IA_facil,17,Empate,4,Si
172,IA_medio,17,Empate,6,Si
172,IA_dificil,25,Derrota,6,Si
173,IA_facil,19,Derrota,5,Si
173,IA_medio,18,Derrota,6,Si
173,IA_dificil,21,Victoria,6,Si
174,IA_facil,20,Victoria,7,Si
174,IA_medio,17,Derrota,6,Si
174,IA_dificil,18,Derrota,4,Si
175,IA_facil,18,Derrota,7,Si
175,IA_medio,21,Victoria,7,Si
175,IA_dificil,19,Derrota,7,Si
176,IA_facil,20,Derrota,6,Si
176,IA_medio,22,Derrota,6,Si
176,IA_dificil,21,Victoria,7,Si
177,IA_facil,19,Empate,6,Si
177,IA_medio,19,Empate,7,Si
177,IA_dificil,18,Derrota,5,Si
178,IA_facil,21,Empate,7,Si
178,IA_medio,18,Derrota,6,Si
178,IA_dificil,21,Empate,6,Si
179,IA_facil,21,Victoria,4,Si
179,IA_medio,19,Derrota,6,Si
179,IA_dificil,18,Derrota,7,Si
180,IA_facil,18,Empate,6,Si
180,IA_medio,18,Empate,6,Si
180,IA_dificil,22,Derrota,7,Si
181,IA_facil,18,Derrota,4,Si
181,IA_medio,17,Derrota,6,Si
181,IA_dificil,21,Victoria,9,Si
182,IA_facil,17,Derrota,4,Si
182,IA_medio,20,Victoria,5,Si
182,IA_dificil,17,Derrota,5,Si
183,IA_facil,21,Victoria,7,Si
183,IA_medio,18,Derrota,6,Si
183,IA_dificil,19,Derrota,7,Si
184,IA_facil,18,Derrota,6,Si
184,IA_medio,23,Derrota,8,Si
184,IA_dificil,21,Victoria,5,Si
185,IA_facil,21,Empate,5,Si
185,IA_medio,21,Empate,7,Si
185,IA_dificil,20,Derrota,5,Si
186,IA_facil,20,Derrota,5,Si
186,IA_medio,20,Derrota,6,Si
186,IA_dificil,21,Victoria,5,Si
187,IA_facil,17,Empate,5,Si
187,IA_medio,17,Empate,4,Si
187,IA_dificil,22,Derrota,5,Si
188,IA_facil,17,Derrota,7,Si
188,IA_medio,23,Derrota,7,Si
188,IA_dificil,20,Victoria,11,Si
189,IA_facil,17,Derrota,6,Si
189,IA_medio,25,Derrota,6,Si
189,IA_dificil,19,Victoria,6,Si
190,IA_facil,19,Derrota,6,Si
190,IA_medio,20,Victoria,6,Si
190,IA_dificil,18,Derrota,6,Si
191,IA_facil,17,Derrota,5,Si
191,IA_medio,18,Empate,5,Si
191,IA_dificil,18,Empate,7,Si
192,IA_facil,19,Empate,6,Si
192,IA_medio,18,Derrota,4,Si
192,IA_dificil,19,Empate,8,Si
193,IA_facil,17,Victoria,5,Si
193,IA_medio,23,Derrota,6,Si
193,IA_dificil,22,Derrota,5,Si
194,IA_facil,19,Empate,5,Si
194,IA_medio,22,Derrota,7,Si
194,IA_dificil,19,Empate,6,Si
195,IA_facil,17,Derrota,7,Si
195,IA_medio,20,Victoria,5,Si
195,IA_dificil,17,Derrota,5,Si
196,IA_facil,18,Derrota,5,Si
196,IA_medio,21,Victoria,10,Si
196,IA_dificil,19,Derrota,5,Si
197,IA_facil,21,Victoria,5,Si
197,IA_medio,20,Derrota,7,Si
197,IA_dificil,22,Derrota,8,Si
198,IA_facil,19,Victoria,5,Si
198,IA_medio,25,Derrota,6,Si
198,IA_dificil,17,Derrota,5,Si
199,IA_facil,19,Derrota,5,Si
199,IA_medio,20,Victoria,6,Si
199,IA_dificil,18,Derrota,7,Si
200,IA_facil,17,Derrota,4,Si
200,IA_medio,19,Victoria,5,Si
200,IA_dificil,18,Derrota,6,Si
201,IA_facil,21,Victoria,6,Si
201,IA_medio,17,Derrota,6,Si
201,IA_dificil,18,Derrota,6,Si
202,IA_facil,18,Derrota,5,Si
202,IA_medio,20,Victoria,4,Si
202,IA_dificil,19,Derrota,5,Si
203,IA_facil,17,Derrota,6,Si
203,IA_medio,18,Derrota,6,Si
203,IA_dificil,19,Victoria,5,Si
204,IA_facil,21,Victoria,6,Si
204,IA_medio,20,Derrota,5,Si
204,IA_dificil,17,Derrota,7,Si
205,IA_facil,18,Derrota,4,Si
205,IA_medio,17,Derrota,6,Si
205,IA_dificil,20,Victoria,8,Si
206,IA_facil,19,Derrota,5,Si
206,IA_medio,22,Derrota,5,Si
206,IA_dificil,21,Victoria,6,Si
207,IA_facil,17,Derrota,3,Si
207,IA_medio,18,Derrota,5,Si
207,IA_dificil,21,Victoria,7,Si
208,IA_facil,18,Derrota,5,Si
208,IA_medio,24,Derrota,5,Si
208,IA_dificil,20,Victoria,8,Si
209,IA_facil,17,Derrota,4,Si
209,IA_medio,21,Victoria,6,Si
209,IA_dificil,18,Derrota,5,Si
210,IA_facil,17,Derrota,5,Si
210,IA_medio,25,Derrota,7,Si
210,IA_dificil,18,Victoria,4,Si
211,IA_facil,18,Empate,7,Si
211,IA_medio,23,Derrota,7,Si
211,IA_dificil,18,Empate,7,Si
212,IA_facil,17,Derrota,6,Si
212,IA_medio,18,Derrota,5,Si
212,IA_dificil,21,Victoria,8,Si
213,IA_facil,18,Derrota,6,Si
213,IA_medio,18,Derrota,6,Si
213,IA_dificil,19,Victoria,5,Si
214,IA_facil,21,Victoria,4,Si
214,IA_medio,17,Derrota,4,Si
214,IA_dificil,20,Derrota,6,Si
215,IA_facil,19,Derrota,4,Si
215,IA_medio,20,Empate,5,Si
215,IA_dificil,20,Empate,6,Si
216,IA_facil,20,Empate,8,Si
216,IA_medio,19,Derrota,5,Si
216,IA_dificil,20,Empate,4,Si
217,IA_facil,19,Derrota,4,Si
217,IA_medio,20,Victoria,6,Si
217,IA_dificil,19,Derrota,5,Si
218,IA_facil,17,Derrota,6,Si
218,IA_medio,23,Derrota,6,Si
218,IA_dificil,21,Victoria,6,Si
219,IA_facil,18,Derrota,5,Si
219,IA_medio,19,Victoria,5,Si
219,IA_dificil,22,Derrota,6,Si
220,IA_facil,20,Victoria,4,Si
220,IA_medio,19,Derrota,7,Si
220,IA_dificil,17,Derrota,5,Si
221,IA_facil,18,Derrota,9,Si
221,IA_medio,19,Derrota,4,Si
221,IA_dificil,21,Victoria,5,Si
222,IA_facil,18,Derrota,6,Si
222,IA_medio,19,Victoria,5,Si
222,IA_dificil,23,Derrota,8,Si
223,IA_facil,22,Derrota,6,Si
223,IA_medio,23,Derrota,5,Si
223,IA_dificil,22,Derrota,7,Si
224,IA_facil,19,Victoria,6,Si
224,IA_medio,17,Derrota,7,Si
224,IA_dificil,22,Derrota,6,Si
225,IA_facil,20,Derrota,7,Si
225,IA_medio,21,Victoria,8,Si
225,IA_dificil,22,Derrota,5,Si
226,IA_facil,21,Victoria,7,Si
226,IA_medio,23,Derrota,7,Si
226,IA_dificil,17,Derrota,7,Si
227,IA_facil,17,Derrota,5,Si
227,IA_medio,18,Derrota,6,Si
227,IA_dificil,19,Victoria,6,Si
228,IA_facil,18,Victoria,5,Si
228,IA_medio,22,Derrota,5,Si
228,IA_dificil,22,Derrota,6,Si
229,IA_facil,18,Derrota,4,Si
